,iters, ids, wins, newrecord, p1, p2, p3, p4, p5, p6, p7, p8
4,63,4,106,1,3.993385,110.7373,14.926824,21.495352,31.561776000000002,133.713418,20.282683,11.694822
9,64,4,63,1,3.3145089999999997,124.02577600000001,15.673166,23.214979999999997,35.980425,145.747625,21.905298000000002,10.993132000000001
14,65,4,91,1,3.480235,130.22706499999998,16.770287,20.429183,41.017684,141.375196,25.191093,11.432858
19,66,4,142,1,4.141479,115.90208700000001,15.260960999999998,18.794848,35.685385,155.51271599999998,22.923894,10.632558
21,67,1,66,1,4.886946,99.675795,14.345304,20.674332999999997,38.183362,177.284496,22.236178,11.589488000000001
28,68,3,157,1,5.42451,106.653101,15.636381,23.982226,32.455858,180.830186,22.013816000000002,10.662329
31,69,1,156,1,5.261774,107.719632,13.760015,22.30347,37.973354,157.32226200000002,20.032572000000002,11.835185000000001
36,70,1,141,1,5.945805,90.484491,14.310416,24.533817000000003,28.859749,176.20093300000002,27.845276000000002,13.492110999999998
40,71,0,174,1,5.945805,90.484491,14.310416,24.533817000000003,28.859749,176.20093300000002,27.845276000000002,13.492110999999998
49,72,4,184,1,5.767431,93.199025,14.310416,26.005846,25.107981,153.294812,23.111579000000003,15.381006
50,73,0,388,1,5.767431,93.199025,14.310416,26.005846,25.107981,153.294812,23.111579000000003,15.381006
56,74,1,111,1,6.574871000000001,83.87912299999999,12.450061999999999,25.745788,26.1123,160.959553,22.418232,17.226727
60,75,0,84,1,6.574871000000001,83.87912299999999,12.450061999999999,25.745788,26.1123,160.959553,22.418232,17.226727
65,76,0,112,1,6.574871000000001,83.87912299999999,12.450061999999999,25.745788,26.1123,160.959553,22.418232,17.226727
73,77,3,126,1,7.561102,78.007584,11.205055999999999,28.577824,26.634546000000004,173.83631699999998,25.108419,17.054459
75,78,0,100,1,7.561102,78.007584,11.205055999999999,28.577824,26.634546000000004,173.83631699999998,25.108419,17.054459
82,79,2,75,1,7.712324000000001,69.42675,11.317105999999999,32.864498,31.162419,203.388491,28.372514000000002,19.442084
85,80,0,119,1,7.712324000000001,69.42675,11.317105999999999,32.864498,31.162419,203.388491,28.372514000000002,19.442084
93,81,3,135,1,8.637803,74.98089,10.524909,37.136883000000005,32.72054,242.032304,28.372514000000002,17.303455
98,82,3,132,1,9.242449,73.481272,12.314143,43.078784000000006,35.338183,212.988427,24.400362,17.303455
101,83,1,208,1,9.612147,55.11095400000001,18.224932,56.433206999999996,38.51862,232.15738599999997,25.132373,21.110215
105,84,0,122,1,9.612147,55.11095400000001,18.224932,56.433206999999996,38.51862,232.15738599999997,25.132373,21.110215
110,85,0,53,1,9.612147,55.11095400000001,18.224932,56.433206999999996,38.51862,232.15738599999997,25.132373,21.110215
119,86,4,76,1,9.323783,50.702078,21.140921,54.175878000000004,37.363061,211.263221,21.613841,22.799032
122,87,2,133,1,9.044069,52.730160999999995,24.312059,60.135225,41.099367,183.799002,18.587903,27.130847999999997
125,88,0,178,1,9.044069,52.730160999999995,24.312059,60.135225,41.099367,183.799002,18.587903,27.130847999999997
134,89,4,175,1,10.49112,53.784764,25.527662,61.33793000000001,35.345456,180.123022,20.446693,29.843933000000003
135,90,0,164,1,10.49112,53.784764,25.527662,61.33793000000001,35.345456,180.123022,20.446693,29.843933000000003
141,91,1,92,1,12.484433000000001,51.633373,29.101535,51.523861,33.931638,153.104569,18.197557,26.262660999999998
148,92,3,120,1,14.856476,61.443714,28.228489,48.947668,31.217107000000002,177.6013,18.379533,27.313167
153,93,3,120,1,12.628003999999999,68.202523,27.381634000000002,48.458191,34.026646,165.169209,16.90917,26.493771999999996
155,94,0,216,1,12.628003999999999,68.202523,27.381634000000002,48.458191,34.026646,165.169209,16.90917,26.493771999999996
164,95,4,75,1,13.133123999999999,68.202523,31.215063,45.5507,38.790377,166.820901,16.063710999999998,28.348336
169,96,4,114,1,15.103093,62.746320999999995,35.273022,51.472291,43.445221999999994,173.493737,16.224349,25.513502
172,97,2,38,1,16.462370999999997,69.020953,39.858514,58.163688,43.445221999999994,163.084113,15.413131,22.196747
175,98,0,46,1,16.462370999999997,69.020953,39.858514,58.163688,43.445221999999994,163.084113,15.413131,22.196747
184,99,4,132,1,16.297748000000002,64.879696,46.634462,54.09223000000001,42.576316999999996,150.037384,14.642475,25.304292
185,100,0,110,1,16.297748000000002,64.879696,46.634462,54.09223000000001,42.576316999999996,150.037384,14.642475,25.304292
192,101,2,48,1,18.253477,71.367666,55.028665000000004,45.978396000000004,48.537002,132.032898,17.424545000000002,24.798206
195,102,0,132,1,18.253477,71.367666,55.028665000000004,45.978396000000004,48.537002,132.032898,17.424545000000002,24.798206
202,103,2,128,1,16.245595,69.226636,45.673792,42.300124,57.759032,132.032898,16.901808,23.558296
207,104,2,89,1,15.270859,74.0725,53.438336,41.03112,54.293490000000006,143.915859,19.775116,21.438049
211,105,1,148,1,17.866905,67.405975,53.438336,47.5961,54.836425,155.429127,18.984111,19.508625
